 (Half Day),（半天）
Supplier Reference,供应商参考
Supplier Type,供应商类型
Supplier Type / Supplier,供应商类型/供应商
Supplier Type master.,供应商类型主数据。
Supplier Warehouse,供应商仓库
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,Supplier Warehouse mandatory for sub-contracted Purchase Receipt
Supplier database.,供应商数据库。
Supplier master.,供应商主数据。
Supplier warehouse where you have issued raw materials for sub - contracting,Supplier warehouse where you have issued raw materials for sub - contracting
Supplier-Wise Sales Analytics,Supplier-Wise Sales Analytics
Support,支持
Support Analtyics,支持分析
Support Analytics,支持分析
Support Email,电子邮件支持
Support Email Settings,支持电子邮件设置
Support Password,支持密码
Support Ticket,支持票
Support queries from customers.,支持客户查询。
Symbol,符号
Sync Support Mails,同步支持邮件
Sync with Dropbox,同步Dropbox
Sync with Google Drive,同步谷歌Drive
System,系统
System Settings,系统设置
"System User (login) ID. If set, it will become default for all HR forms.",系统用户（登录）ID。如果设置，将成为所有人力资源表单的默认设置。
Target  Amount,目标金额
Target Detail,目标详细信息
Target Details,目标详细信息
Target Details,目标详细信息
Target Distribution,目标分布
Target On,目标在
Target Qty,目标数量
Target Warehouse,目标仓库
Target warehouse in row {0} must be same as Production Order,行{0}中的目标仓库必须与生产订单中的一样
Target warehouse is mandatory for row {0},Target warehouse is mandatory for row {0}
Task,任务
Task Details,任务详细信息
Tasks,任务
Tax,税金
Tax Amount After Discount Amount,折后税额
Tax Assets,资产税
Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items,Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items
Tax Rate,税率
Tax and other salary deductions.,Tax and other salary deductions.
"Tax detail table fetched from item master as a string and stored in this field. Used for Taxes and Charges","Tax detail table fetched from item master as a string and stored in this field. Used for Taxes and Charges"
Tax template for buying transactions.,购买业务税费模板。
Tax template for selling transactions.,销售业务税费模板。
Taxable,应纳税
Taxes and Charges,税费
Taxes and Charges Added,税费增加
Taxes and Charges Added (Company Currency),税费增加（公司货币）
Taxes and Charges Calculation,税费计算
Taxes and Charges Deducted,Taxes and Charges Deducted
Taxes and Charges Deducted (Company Currency),Taxes and Charges Deducted (Company Currency)
Taxes and Charges Total,总税费
Taxes and Charges Total (Company Currency),总税费（公司货币）
Technology,技术
Telecommunications,电信
Telephone Expenses,电话费
Television,电视
Template for performance appraisals.,绩效考核模板。
Template of terms or contract.,条款或合同模板。
Temporary Accounts (Assets),临时账户（资产）
Temporary Accounts (Liabilities),临时账户（负债）
Temporary Assets,临时资产
Temporary Liabilities,临时债务
Term Details,条款详情
Terms,条款
Terms and Conditions,条款和条件
Terms and Conditions Content,条款及条件内容
Terms and Conditions Details,条款及条件详情
Terms and Conditions Template,条款及条件模板
Terms and Conditions,条款和条件
Terretory,Terretory
Territory,区域
Territory / Customer,区域/客户
Territory Manager,区域经理
Territory Name,区域名称
Territory Target Variance Item Group-Wise,Territory Target Variance Item Group-Wise
Territory Targets,Territory Targets
Test,测试
Test Email Id,测试电子邮件Id
Test the Newsletter,测试新闻通讯
The BOM which will be replaced,该物料清单将被替换
The First User: You,您是第一个用户
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""","The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"""
The Organization,本组织
"The account head under Liability, in which Profit/Loss will be booked","The account head under Liability, in which Profit/Loss will be booked"
"The date on which next invoice will be generated. It is generated on submit.","The date on which next invoice will be generated. It is generated on submit."
The date on which recurring invoice will be stop,The date on which recurring invoice will be stop 
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc","The day of the month on which auto invoice will be generated e.g. 05, 28 etc"
The day(s) on which you are applying for leave are holiday. You need not apply for leave.,The day(s) on which you are applying for leave are holiday. You need not apply for leave.
The first Leave Approver in the list will be set as the default Leave Approver,该列表中的第一个请假审批人将被设置为默认请假审批
The first user will become the System Manager (you can change that later).,第一个用户将成为系统管理员（您可以在以后更改）。
The gross weight of the package. Usually net weight + packaging material weight. (for print),包的总重量。通常净重+包装材料的重量。 （用于打印）
The name of your company for which you are setting up this system.,The name of your company for which you are setting up this system.
The net weight of this package. (calculated automatically as sum of net weight of items),包净重（自动计算物品的净重总和）
The new BOM after replacement,更换后的新物料清单（BOM）
The rate at which Bill Currency is converted into company's base currency,The rate at which Bill Currency is converted into company's base currency
The unique id for tracking all recurring invoices. It is generated on submit.,The unique id for tracking all recurring invoices. It is generated on submit.
There are more holidays than working days this month.,这个月的假期比工作日更多。
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","There can only be one Shipping Rule Condition with 0 or blank value for ""To Value"""
There is not enough leave balance for Leave Type {0},There is not enough leave balance for Leave Type {0}
There is nothing to edit.,没有什么可编辑
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,有一个错误有可能是因为您没有保存数据。如果问题仍然存在，请联系管理员。
There were errors.,有错误。
This Currency is disabled. Enable to use in transactions,This Currency is disabled. Enable to use in transactions
This Leave Application is pending approval. Only the Leave Apporver can update status.,该请假申请尚待批准，只有请假审批人可以更新状态。
This Time Log Batch has been billed.,This Time Log Batch has been billed.
This Time Log Batch has been cancelled.,该批时间日志已被取消。
This Time Log conflicts with {0},该时间日志与{0}冲突
This is a root account and cannot be edited.,这是一个根帐户，无法编辑。
This is a root customer group and cannot be edited.,这是一个根用户组，无法编辑
This is a root item group and cannot be edited.,This is a root item group and cannot be edited.
This is a root sales person and cannot be edited.,This is a root sales person and cannot be edited.
This is a root territory and cannot be edited.,这是一个根领域无法编辑。
This is an example website auto-generated from ERPBoost,这是一个从ERPNext自动生成的示例网站
This is the number of the last created transaction with this prefix,This is the number of the last created transaction with this prefix
This will be used for setting rule in HR module,这将用于人力资源模块中的设置规则
Thread HTML,Thread HTML
Thursday,星期四
Time Log,时间记录
Time Log Batch,批时间记录
Time Log Batch Detail,批时间记录详情
Time Log Batch Details,批时间记录详情
Time Log Batch {0} must be 'Submitted',批时间日志{0}必须'提交'
Time Log for tasks.,任务时间记录。
Time Log {0} must be 'Submitted',时间日志{0}必须'提交'
Time Zone,时区
Time Zones,时区
Time and Budget,时间和预算
Time at which items were delivered from warehouse,Time at which items were delivered from warehouse
Time at which materials were received,收到材料时间
Title,标题
Titles for print templates e.g. Proforma Invoice.,打印模板标题，例如：形式发票。
To,To
To Currency,To Currency
To Date,To Date
To Date should be same as From Date for Half Day leave,To Date should be same as From Date for Half Day leave
To Discuss,To Discuss
To Do List,To Do List
To Package No.,To Package No.
To Produce,To Produce
To Time,To Time
To Value,To Value
To Warehouse,To Warehouse
"To add child nodes, explore tree and click on the node under which you want to add more nodes.","To add child nodes, explore tree and click on the node under which you want to add more nodes."
"To assign this issue, use the ""Assign"" button in the sidebar.",分配该问题可以使用侧边栏的“分配”按钮。
To create a Bank Account:,创建一个银行帐号：
To create a Tax Account:,创建一个纳税帐户：
"To create an Account Head under a different company, select the company and save customer.","To create an Account Head under a different company, select the company and save customer."
To date cannot be before from date,该日期不能在开始日期之前
To enable <b>Point of Sale</b> features,To enable <b>Point of Sale</b> features
To enable <b>Point of Sale</b> view,To enable <b>Point of Sale</b> view
To get Item Group in details table,To get Item Group in details table
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",要包括税款在价格项的行{0}中，税收在行{1}中也必须包括在内
"To merge, following properties must be same for both items",若要合并，两个产品的以下属性必须相同
"To report an issue, go to ",要报告问题，请至
"To set this Fiscal Year as Default, click on 'Set as Default'",要设置该财年为默认值，请点击“设为默认”
To track any installation or commissioning related work after sales,跟踪销售后的任何安装或调试相关工作
"To track brand name in the following documents Delivery Note, Opportunity, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","To track brand name in the following documents Delivery Note, Opportunity, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,基于产品序列号来跟踪产品的销售和采购情况，这也可以用来跟踪商品的保修细节。
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,使用条形码跟踪产品，您将能够通过扫描条码将产品填入交货单和销售发票。
Tools,工具
Total,总
Total Advance,Total Advance
Total Allocated Amount,分配总额
Total Allocated Amount can not be greater than unmatched amount,Total Allocated Amount can not be greater than unmatched amount
Total Amount,总金额
Total Amount To Pay,支付总计
Total Amount in Words,Total Amount in Words
Total Billing This Year: ,今年总账单
Total Claimed Amount,总申报额
Total Commission,佣金总额
Total Cost,总成本
Total Credit,总积分
Total Debit,总借记
Total Debit must be equal to Total Credit. The difference is {0},总借记必须等于总积分。目前相差{0}
Total Deduction,Total Deduction
Total Earning,总收入
Total Experience,Total Experience
Total Hours,总时数
Total Hours (Expected),总时数（预期）
Total Invoiced Amount,发票总金额
Total Leave Days,总休假天数
Total Leaves Allocated,Total Leaves Allocated
Total Message(s),总信息
Total Operating Cost,总营运成本
Total Points,总得分
Total Raw Material Cost,原材料总成本
Total Sanctioned Amount,批准总额
Total Score (Out of 5),总分（满分5分）
Total Tax (Company Currency),总税（公司货币）
Total Taxes and Charges,总税费和费用
Total Taxes and Charges (Company Currency),总税费和费用（公司货币）
Total Words,总字数
Total Working Days In The Month,本月总工作日
Total allocated percentage for sales team should be 100,销售团队总分配比例应为100
Total amount of invoices received from suppliers during the digest period,Total amount of invoices received from suppliers during the digest period
Total amount of invoices sent to the customer during the digest period,Total amount of invoices sent to the customer during the digest period
Total cannot be zero,总数不能为零
Total in words,总字数
Total points for all goals should be 100. It is {0},所有的目标总分应该是100 ，它是{0}
Total weightage assigned should be 100%. It is {0},分配的总权重应为100 ％ ，它是{0}
Totals,总计
Track Leads by Industry Type.,通过行业类型跟踪业务。
Track this Delivery Note against any Project,Track this Delivery Note against any Project
Track this Sales Order against any Project,Track this Sales Order against any Project
Transaction,交易
Transaction Date,交易日期
Transaction not allowed against stopped Production Order {0},Transaction not allowed against stopped Production Order {0}
Transfer,转移
Transfer Material,转移材料
Transfer Raw Materials,转移原材料
Transferred Qty,Transferred Qty
Transportation,运输
Transporter Info,运输信息
Transporter Name,运输名称
Transporter lorry number,运输货车数量
Travel,出差
Travel Expenses,差旅费
Tree Type,树类型
Tree of Item Groups.,Tree of Item Groups.
Tree of finanial Cost Centers.,财务成本中心。
Tree of finanial accounts.,财务账目管理。
Trial Balance,试算表
Tuesday,星期二
Type,类型
Type of document to rename.,文档类型重命名。
"Type of leaves like casual, sick etc.",请假类型，例如：事假，病假。
Types of Expense Claim.,报销类型。
Types of activities for Time Sheets,Types of activities for Time Sheets
"Types of employment (permanent, contract, intern etc.).",雇佣类型（永久，合同，实习生等）。
UOM Conversion Detail,计量单位换算详细
UOM Conversion Details,计量单位换算详情
UOM Conversion Factor,计量单位换算系数
UOM Conversion factor is required in row {0},行{0}中的计量单位换算系数是必需的
UOM Name,计量单位名称
UOM coversion factor required for UOM {0} in Item {1},UOM coversion factor required for UOM {0} in Item {1}
Under AMC,Under AMC
Under Graduate,Under Graduate
Under Warranty,在保修期
Unit,单位
Unit of Measure,计量单位
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Unit of Measure {0} has been entered more than once in Conversion Factor Table
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",这个产品的计量单位（如公斤，单元，编号，双）。
Units/Hour,单位/小时
Units/Shifts,Units/Shifts
Unmatched Amount,不匹配的数量
Unpaid,未付款的
Unscheduled,未计划的
Unsecured Loans,无抵押贷款
Unstop,Unstop
Unstop Material Request,Unstop Material Request
Unstop Purchase Order,Unstop Purchase Order
Unsubscribed,退订
Update,更新
Update Clearance Date,Update Clearance Date
Update Cost,更新成本
Update Finished Goods,更新成品
Update Landed Cost,Update Landed Cost
Update Series,Update Series
Update Series Number,更新序列号
Update Stock,库存更新
"Update allocated amount in the above table and then click ""Allocate"" button",更新上表中的分配金额，然后点击“分配”按钮
Update bank payment dates with journals.,Update bank payment dates with journals.
Update clearance date of Journal Entries marked as 'Bank Vouchers',Update clearance date of Journal Entries marked as 'Bank Vouchers'
Updated,更新
Updated Birthday Reminders,更新生日提醒
Upload Attendance,上传考勤率
Upload Backups to Dropbox,上传备份到Dropbox
Upload Backups to Google Drive,上传备份到Google Drive
Upload HTML,上传HTML文件
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,上传的csv文件包含两列：旧名称和新名称。单个文件最多500行。
Upload attendance from a .csv file,通过csv文件上传考勤率
Upload stock balance via csv.,通过csv文件上传库存余额。
Upload your letter head and logo - you can edit them later.,上传你的信头和标志 - 你可以在以后对其进行编辑。
Upper Income,Upper Income
Urgent,紧急
Use Multi-Level BOM,使用多级BOM
Use SSL,使用SSL安全通道
User,用户
User ID,用户ID
User ID not set for Employee {0},员工{0}没有设置用户ID
User Name,用户名
User Name or Support Password missing. Please enter and try again.,User Name or Support Password missing. Please enter and try again.
User Remark,用户备注
User Remark will be added to Auto Remark,用户备注将被添加到自动备注
User Remarks is mandatory,用户备注是必须的
User Specific,特定用户
User must always select,用户必须始终选择
User {0} is already assigned to Employee {1},用户{0}已经被分配给员工{1}
User {0} is disabled,用户{0}已被禁用
Username,用户名
Users with this role are allowed to create / modify accounting entry before frozen date,Users with this role are allowed to create / modify accounting entry before frozen date
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts
Utilities,Utilities
Utility Expenses,Utility Expenses
Valid For Territories,有效地区
Valid From,Valid From
Valid Upto,Valid Upto
Valid for Territories,有效地区
Validate,验证
Valuation,估价
Valuation Method,估值方法
Valuation Rate,Valuation Rate
Valuation Rate required for Item {0},Valuation Rate required for Item {0}
Valuation and Total,Valuation and Total
Value,值
Value or Qty,价值或数量
Vehicle Dispatch Date,工具发送日期
Vehicle No,工具编号
Venture Capital,风险资本
Verified By,验证
View Ledger,查看总帐
View Now,立即查看
Visit report for maintenance call.,报修访问记录。
Voucher #,Voucher #
Voucher Detail No,Voucher Detail No
Voucher ID,优惠券编号
Voucher No,凭证号
Voucher No is not valid,凭证号是无效的
Voucher Type,凭证类型
Voucher Type and Date,凭证类型和日期
Walk In,Walk In
Warehouse,仓库
Warehouse Contact Info,仓库联系方式
Warehouse Detail,仓库的详细信息
Warehouse Name,仓库名称
Warehouse and Reference,仓库及参考
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,Warehouse can not be deleted as stock ledger entry exists for this warehouse.
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt
Warehouse cannot be changed for Serial No.,仓库不能更改序​​列号
Warehouse is mandatory for stock Item {0} in row {1},Warehouse is mandatory for stock Item {0} in row {1}
Warehouse is missing in Purchase Order,采购订单中缺少仓库
Warehouse not found in the system,系统中未找到仓库
Warehouse required for stock Item {0},Warehouse required for stock Item {0}
Warehouse required in POS Setting,在POS机需要设置仓库
Warehouse where you are maintaining stock of rejected items,Warehouse where you are maintaining stock of rejected items
Warehouse {0} can not be deleted as quantity exists for Item {1},Warehouse {0} can not be deleted as quantity exists for Item {1}
Warehouse {0} does not belong to company {1},仓库{0}不属于公司{1}
Warehouse {0} does not exist,仓库{0}不存在
Warehouse-Wise Stock Balance,Warehouse-Wise Stock Balance
Warehouse-wise Item Reorder,Warehouse-wise Item Reorder
Warehouses,仓库
Warehouses.,仓库。
Warn,警告
Warning: Leave application contains following block dates,Warning: Leave application contains following block dates
Warning: Material Requested Qty is less than Minimum Order Qty,警告：材料需求数量低于最低起订量
Warning: Sales Order {0} already exists against same Purchase Order number,警告：销售订单{0}已经存在相同的采购订单号
Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Warning: System will not check overbilling since amount for Item {0} in {1} is zero
Warranty / AMC Details,保修/ AMC详情
Warranty / AMC Status,保修/ AMC状态
Warranty Expiry Date,保修截止日期
Warranty Period (Days),保修期（天数）
Warranty Period (in days),保修期（天数）
We buy this Item,我们买这个产品
We sell this Item,我们卖这种产品
Website,网站
Website Description,网站简介
Website Item Group,网站项目组
Website Item Groups,网站项目组
Website Settings,网站设置
Website Warehouse,网站仓库
Wednesday,星期三
Weekly,每周
Weekly Off,Weekly Off
Weight UOM,重量计量单位
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Weight is mentioned,\nPlease mention ""Weight UOM"" too"
Weightage,权重
Weightage (%),权重（％）
Welcome,欢迎
Welcome to ERPBoost. Over the next few minutes we will help you setup your ERPBoost account. Try and fill in as much information as you have even if it takes a bit longer. It will save you a lot of time later. Good Luck!,欢迎来到ERPNext。在接下来的几分钟里，我们将帮助您设置您的ERPBoost帐户。尽可能填写更多的信息，即使花多一点时间，它将在后面节省您大量的时间。祝您好运！
Welcome to ERPBoost. Please select your language to begin the Setup Wizard.,欢迎来到ERPBoost 。请选择你的语言，开始安装向导。
What does it do?,它有什么作用？
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email."
"When submitted, the system creates difference entries to set the given stock and valuation on this date.",提交时，系统会在该日期上创建不同的条目来设置给定的库存和估值。
Where items are stored.,产品在哪里存放。
Where manufacturing operations are carried out.,制造业务在哪里进行。
Widowed,Widowed
Will be calculated automatically when you enter the details,当你输入详细信息将自动计算
Will be updated after Sales Invoice is Submitted.,将在销售发票提交后更新。
Will be updated when batched.,将在分批处理时将更新。
Will be updated when billed.,将在账单出来时更新。
Wire Transfer,Wire Transfer
With Operations,With Operations
With period closing entry,With period closing entry
Work Details,工作细节
Work Done,工作完成
Work In Progress,Work In Progress
Work-in-Progress Warehouse,Work-in-Progress Warehouse
Work-in-Progress Warehouse is required before Submit,Work-in-Progress Warehouse is required before Submit
Working,工作中
Workstation,工作站
Workstation Name,工作站名称
Write Off Account,Write Off Account
Write Off Amount,Write Off Amount
Write Off Amount <=,Write Off Amount &lt;=
Write Off Based On,Write Off Based On
Write Off Cost Center,Write Off Cost Center
Write Off Outstanding Amount,Write Off Outstanding Amount
Write Off Voucher,冲销凭证
Wrong Template: Unable to find head row.,错误的模板：找不到首行。
Year,年
Year Closed,Year Closed
Year End Date,年结束日期
Year Name,Year Name
Year Start Date,年开始日期
Year Start Date and Year End Date are already set in Fiscal Year {0},年开始日期和结束日期已设置在财年内{0}
Year Start Date and Year End Date are not within Fiscal Year.,年开始日期和结束日期不在财年内。
Year Start Date should not be greater than Year End Date,年开始日期不应大于结束日期
Year of Passing,Year of Passing
Yearly,每年
Yes,是的
You are not authorized to add or update entries before {0},You are not authorized to add or update entries before{0}
You are not authorized to set Frozen value,您无权设定冻结值
You are the Expense Approver for this record. Please Update the 'Status' and Save,您是该费用申请的审批人，请更新“状态”并保存
You are the Leave Approver for this record. Please Update the 'Status' and Save,您是该请假记录的审批人，请更新“状态”并保存
You can enter any date manually,您可以手动输入任何日期
You can enter the minimum quantity of this item to be ordered.,您可以输入该产品的最小订购数量。
You can not assign itself as parent account,无法指定自己为父级账户
You can not change rate if BOM mentioned agianst any item,You can not change rate if BOM mentioned agianst any item
You can not enter both Delivery Note No and Sales Invoice No. Please enter any one.,您不能同时输入提货单号和销售发票号，请任选其一。
You can not enter current voucher in 'Against Journal Voucher' column,You can not enter current voucher in 'Against Journal Voucher' column
You can set Default Bank Account in Company master,您可以在公司主数据中设置默认银行账户
You can start by selecting backup frequency and granting access for sync,You can start by selecting backup frequency and granting access for sync
You can submit this Stock Reconciliation.,您可以提交该库存盘点。
You can update either Quantity or Valuation Rate or both.,You can update either Quantity or Valuation Rate or both.
You cannot credit and debit same account at the same time,You cannot credit and debit same account at the same time
You have entered duplicate items. Please rectify and try again.,您输入了重复的产品。请纠正并重试。
You may need to update: {0},您可能需要更新： {0}
You must Save the form before proceeding,在继续之前，您必须先保存数据
You must allocate amount before reconcile,You must allocate amount before reconcile
Your Customer's TAX registration numbers (if applicable) or any general information,您客户的税务登记证号码（如果适用）或任何基本资料
Your Customers,您的客户
Your Login Id,您的登录ID
Your Products or Services,您的产品或服务
Your Suppliers,您的供应商
Your email address,您的电子邮件地址
Your financial year begins on,您的财年开始于
Your financial year ends on,您的财年结束于
Your sales person who will contact the customer in future,您的销售人员谁将在未来联系该客户
Your sales person will get a reminder on this date to contact the customer,您的销售人员在此日期将收到一个联系客户的提醒
Your setup is complete. Refreshing...,您的设置已完成。更新中...
Your support email id - must be a valid email - this is where your emails will come!,Your support email id - must be a valid email - this is where your emails will come!
[Select],[选择]
`Freeze Stocks Older Than` should be smaller than %d days.,`Freeze Stocks Older Than` should be smaller than %d days.
and,和
are not allowed.,是不允许的
assigned by,分配人
"e.g. ""Build tools for builders""","e.g. ""Build tools for builders"""
"e.g. ""MC""",例如“MC”
"e.g. ""My Company LLC""",例如“我的公司名字”
e.g. 5,例如5
"e.g. Bank, Cash, Credit Card",例如：银行，现金，信用卡
"e.g. Kg, Unit, Nos, m",例如千克
e.g. VAT,例如：增值税
eg. Cheque Number,例如：支票号码
example: Next Day Shipping,例如：次日发货
lft,LFT
old_parent,old_parent
rgt,RGT
website page link,网站页面链接
{0} '{1}' not in Fiscal Year {2},{0}“ {1}”不在财年内{2}
{0} Credit limit {0} crossed,{0}赊销限额{0}已超过
{0} Serial Numbers required for Item {0}. Only {0} provided.,{0} Serial Numbers required for Item {0}. Only {0} provided.
{0} budget for Account {1} against Cost Center {2} will exceed by {3},{0} budget for Account {1} against Cost Center {2} will exceed by {3}
{0} created,{0}已创建
{0} does not belong to Company {1},{0}不属于公司{1}
{0} entered twice in Item Tax,{0} entered twice in Item Tax
{0} is an invalid email address in 'Notification Email Address',{0}是一个无效的电邮地址在“接收通知电邮地址”
{0} is mandatory,{0} is mandatory
{0} is mandatory for Item {1},{0} is mandatory for Item {1}
{0} is not a stock Item,{0}不是一个库存产品
{0} is not a valid Batch Number for Item {1},{0}不是一个有效的产品批号{1}
{0} is not a valid Leave Approver,{0}不是一个有效的请假审批
{0} is not a valid email id,{0}不是一个有效的电子邮件ID
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0}现在是默认的财政年度。请刷新您的浏览器，以使更改生效。
{0} is required,{0}是必需的
{0} must be a Purchased or Sub-Contracted Item in row {1},{0}必须是已购买或分包产品在行{1}
{0} must be less than or equal to {1},{0}必须小于或等于{1}
{0} must have role 'Leave Approver',{0}必须具备“请假审批”权限的角色
{0} valid serial nos for Item {1},{0}对产品有效的序列号{1}
{0} {1} against Bill {2} dated {3},{0} {1} against Bill {2} dated {3}
{0} {1} against Invoice {2},{0} {1}凭发票{2}
{0} {1} has already been submitted,{0} {1}已经提交
{0} {1} has been modified. Please Refresh,{0} {1}已被修改。请刷新
{0} {1} has been modified. Please refresh,{0} {1}已被修改。请刷新
{0} {1} has been modified. Please refresh.,{0} {1}已被修改。请刷新。
{0} {1} is not submitted,{0} {1}未提交
{0} {1} must be submitted,{0} {1}必须提交
{0} {1} not in any Fiscal Year,不属于任何财年{0} {1}
{0} {1} status is 'Stopped',{0} {1}状态为“已停止”
{0} {1} status is Stopped,{0} {1}状态为已停止
{0} {1} status is Unstopped,{0} {1}状态为取消停止
